created_at,Temperature,Humidity,PM 2.5,PM 10
2025-02-11T07:07:46+00:00,32.13,42.92,40.5,65.8
2025-02-11T07:08:02+00:00,32.21,42.78,40.3,65.7
2025-02-11T07:08:18+00:00,32.23,43.26,39.8,65.8
2025-02-11T07:08:33+00:00,32.15,43.13,40.3,72.5
2025-02-11T07:08:49+00:00,32.21,43.84,40.2,71.6
2025-02-11T07:09:06+00:00,32.28,44.42,40.3,74.8
2025-02-11T07:09:22+00:00,32.39,43.89,40.5,79.8
2025-02-11T07:09:38+00:00,32.36,41.78,40.9,74.4
2025-02-11T07:09:55+00:00,32.31,40.93,40.6,69.6
2025-02-11T07:10:10+00:00,32.22,41.07,40.3,64.1
2025-02-11T07:10:26+00:00,32.36,41.35,40.3,64.7
2025-02-11T07:10:42+00:00,32.54,41.72,40.7,62.5
2025-02-11T07:10:58+00:00,32.6,41.39,40.9,62.7
2025-02-11T07:11:13+00:00,33.15,41.02,41.6,70.5
2025-02-11T07:11:30+00:00,33.36,41.1,41.6,69.2
2025-02-11T07:12:41+00:00,32.38,43.92,35.5,54.6
2025-02-11T07:13:11+00:00,32.06,43.18,41.7,64
2025-02-11T07:13:29+00:00,31.93,43.59,43,66
2025-02-11T07:13:48+00:00,32.08,43.24,40.8,68
2025-02-11T07:14:05+00:00,31.98,44.28,41.3,68.8
2025-02-11T07:14:26+00:00,32.05,43.68,40.5,65.2
2025-02-11T07:14:52+00:00,32.11,43.37,40.5,69.1
2025-02-11T07:15:07+00:00,32.17,43.64,40.1,63.6
2025-02-11T07:15:31+00:00,32.22,42.89,41.1,64.7
2025-02-11T07:15:49+00:00,32.18,43.18,41.3,65.3
2025-02-11T07:16:06+00:00,32.19,42.89,40.4,66.8
2025-02-11T07:16:22+00:00,32.16,42.69,39.9,67.3
2025-02-11T07:24:51+00:00,32.82,43.26,42,73.8
2025-02-11T07:25:15+00:00,32.96,40.39,42.7,77.7
2025-02-11T07:25:34+00:00,32.61,43.21,41.7,64.6
2025-02-11T07:26:40+00:00,32.78,43.21,42.8,68.1
2025-02-11T07:29:46+00:00,32.93,39.74,42.3,62.7
2025-02-11T07:30:04+00:00,32.97,39.87,43,63.8
2025-02-11T07:30:23+00:00,32.99,40.26,45.4,69.4
2025-02-11T07:30:40+00:00,33,40.79,43.4,64
2025-02-11T07:30:59+00:00,33.05,41.23,41.7,62
2025-02-11T07:31:16+00:00,33.1,41.62,42.8,63.2
2025-02-11T07:31:32+00:00,33.14,41.54,44.4,70.7
2025-02-11T07:31:48+00:00,33.2,41.36,44.4,73.8
2025-02-11T07:32:07+00:00,33.27,40.95,44.4,84.1
2025-02-11T07:32:26+00:00,33.36,40.36,42.9,77.3
2025-02-11T07:32:42+00:00,33.4,40.25,43.7,70.3
2025-02-11T07:33:10+00:00,33.48,40.16,42.6,67.8
2025-02-11T07:34:40+00:00,33.86,39.41,42.2,62.3
2025-02-11T07:35:01+00:00,33.9,39.35,41.6,61
